"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Swagger Petstore API","0","(Pet)","1","0","","0"
"0","Swagger Petstore API","0","(User)","1","0","","0"
"0","Swagger Petstore API","0","(User)","1","0","Get user by name","0"
"0","Swagger Petstore API","0","(Pet)","1","0","E2E cycle: creating new pet, check if it was created then delete","0"
"0","Swagger Petstore API","0","(Store)","1","0","Delete order","0"
"0","Swagger Petstore API","0","(User)","0","3","Creating user with invalid data","0"
"0","Swagger Petstore API","0","(Pet)","3","0","Get Pet by status","0"
"0","Swagger Petstore API","0","(Store)","0","3","Creating order with invalid quantity","0"
"0","Swagger Petstore API","0","(Pet)","1","0","Get Pet by id","0"
"0","Swagger Petstore API","0","(User)","1","0","Delete user","0"
"0","Swagger Petstore API","0","(Store)","1","0","Create order","0"
"0","Swagger Petstore API","0","(User)","1","0","Update user","0"
"0","Swagger Petstore API","0","(User)","1","0","Get non-existent user","0"
"0","Swagger Petstore API","0","(Store)","0","1","Create empty order","0"
"0","Swagger Petstore API","0","(Store)","1","0","Get order by id","0"
"0","Swagger Petstore API","0","(Store)","1","0","Get store inventory","0"
"0","Swagger Petstore API","0","(Pet)","1","0","Get Pet","0"
"0","Swagger Petstore API","0","(Pet)","1","0","Creating Pet","0"
